

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.479755  [ 4368/11955]
loss: 1.388410  [ 4384/11955]
loss: 1.337562  [ 4400/11955]
loss: 1.240070  [ 4416/11955]
loss: 1.272483  [ 4432/11955]
loss: 1.701868  [ 4448/11955]
loss: 1.339702  [ 4464/11955]
loss: 1.411540  [ 4480/11955]
loss: 1.338424  [ 4496/11955]
loss: 1.423901  [ 4512/11955]
loss: 1.444263  [ 4528/11955]
loss: 1.533130  [ 4544/11955]
loss: 1.541575  [ 4560/11955]
loss: 1.238638  [ 4576/11955]
loss: 1.180909  [ 4592/11955]
loss: 1.468670  [ 4608/11955]
loss: 1.351065  [ 4624/11955]
loss: 1.436146  [ 4640/11955]
loss: 1.544617  [ 4656/11955]
loss: 1.139207  [ 4672/11955]
loss: 1.332956  [ 4688/11955]
loss: 1.445692  [ 4704/11955]
loss: 1.317144  [ 4720/11955]
loss: 1.389298  [ 4736/11955]
loss: 1.286624  [ 4752/11955]
loss: 1.339759  [ 4768/11955]
loss: 1.326533  [ 4784/11955]
loss: 1.289694  [ 4800/11955]
loss: 1.252776  [ 4816/11955]
loss: 1.299482  [ 4832/11955]
loss: 1.379482  [ 4848/11955]
loss: 1.256271  [ 4864/11955]
loss: 1.401707  [ 4880/11955]
loss: 1.332519  [ 4896/11955]
loss: 1.385230  [ 4912/11955]
loss: 1.372923  [ 4928/11955]
loss: 1.365607  [ 4944/11955]
loss: 1.410642  [ 4960/11955]
loss: 1.339368  [ 4976/11955]
loss: 1.398479  [ 4992/11955]
loss: 1.460611  [ 5008/11955]
loss: 1.161395  [ 5024/11955]
loss: 1.406577  [ 5040/11955]
loss: 1.558367  [ 5056/11955]
loss: 1.399951  [ 5072/11955]
loss: 1.216502  [ 5088/11955]
loss: 1.283026  [ 5104/11955]
loss: 1.393510  [ 5120/11955]
loss: 1.488068  [ 5136/11955]
loss: 1.228958  [ 5152/11955]
loss: 1.353989  [ 5168/11955]
loss: 1.229088  [ 5184/11955]
loss: 1.365571  [ 5200/11955]
loss: 1.216148  [ 5216/11955]
loss: 1.264236  [ 5232/11955]
loss: 1.418581  [ 5248/11955]
loss: 1.483118  [ 5264/11955]
loss: 1.343536  [ 5280/11955]
loss: 1.400987  [ 5296/11955]
loss: 1.276479  [ 5312/11955]
loss: 1.331171  [ 5328/11955]
loss: 1.251630  [ 5344/11955]
loss: 1.320992  [ 5360/11955]
loss: 1.141898  [ 5376/11955]
loss: 1.285850  [ 5392/11955]
loss: 1.367882  [ 5408/11955]
loss: 1.383863  [ 5424/11955]
loss: 1.343719  [ 5440/11955]
loss: 1.301544  [ 5456/11955]
loss: 1.398925  [ 5472/11955]
loss: 1.554435  [ 5488/11955]
loss: 1.381386  [ 5504/11955]
loss: 1.383007  [ 5520/11955]
loss: 1.259888  [ 5536/11955]
loss: 1.199840  [ 5552/11955]
loss: 1.413957  [ 5568/11955]
loss: 1.387570  [ 5584/11955]
loss: 1.216275  [ 5600/11955]
loss: 1.340266  [ 5616/11955]
loss: 1.379934  [ 5632/11955]
loss: 1.243202  [ 5648/11955]
loss: 1.438640  [ 5664/11955]
